content,aspect,sentiment,from,to
the sauce is delicious and the crust is perfect.,crust,2,31,36
"although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",tables,0,13,19
"their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.",bagel,1,84,89
"tasty steak , pork loin, the works.",steak,2,6,11
"the owner is very friendly and a great guy, go try his pizza , you'll like it!",pizza,2,55,60
the sushi is average and the prices are anything but.,prices,1,29,35
"the highlight of the night was the mayonaisse for my side of fries i received from one of the food runners , which is not good considering the bill was nearly $100.",food runners,1,94,106
although we were looking for regular lettuce and some walnuts the salads we got were great.,lettuce,1,37,44
"have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",waiters,2,27,34
i'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting,2,75,82
a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere .,atmosphere,2,102,112
the service is not consistently excellent -- just decent.,service,1,4,11
"one would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",drinks,1,53,59
"no more reservations, expensive tips and annoying stuff .",stuff,2,50,55
"while sapphire is certainly not lacking in ambiance, and probably has the best decor of any indian restaurant i have been to in new york city, the food was not what i had hoped for.",decor,2,79,84
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,priced,1,80,86
"this place doesn't compare with mamoun's in terms of price, freshness, value, and consisent quality , but that's just my opinion.",quality,0,92,99
the appetizing is excellent - just as good as zabars barney greengrass at a reasonable price (if bought by the pound).,price,2,87,92
delivery service is great too.,delivery service,2,0,16
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups .",soups,2,202,207
"after being told that our party of three would be seated in 10 minutes and watching other parties (multiples of 2 and higher) seated for 40 minutes, the three of us were squished into a small 2-person table .",2-person table,0,192,206
the main downside to the place is the nazi-like guy running it who constantly complains about the noise level.,guy,0,48,51
the ambience is very romantic and definitely a good place to bring a date.,place,2,52,57
"and, atlhough tables opened up next to us and we asked for a slightly larger space , they left us awkardly seated.",space,1,77,82
"the menu was impressive with selections ranging from a burger, to steak, to escargot .",escargot,1,76,84
this place has realy fresh sushi and a nice large menu of japanese classic cuisine .,japanese classic cuisine,2,58,82
try the spicy wontons and the salt pepper shrimps .,salt pepper shrimps,2,30,49
"the service, wine selection , ambiance are all outstanding and deserve recognition.",wine selection,2,13,27
"i would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!",qualities,0,63,72
i don't usually order wine with indian so i can't comment on their wine list or their wines.,wine,1,22,26
another plus is most of the entrees are approx.,entrees,2,28,35
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,2,48,59
also make sure you pay attention to the music being piped in - quite a weird selection.,music,1,40,45
"in terms of the food itself -- nothing special, we limited ourselves to several appetizers.",food,1,16,20
and the tom kha soup was pathetic.,tom kha soup,0,8,20
great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,corner booth table,2,48,66
it is what modern cuisine is all about.,cuisine,2,18,25
"always popular, always full, always a wait .",wait,0,38,42
"while the $20 entree range is not overly expensive, in new york city, there is definitely better food in that range, and so sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which i will return.",food,0,97,101
i ordered a chicken teriyaki dish and found that the chicken was extremely dry.,chicken,0,53,60
"the main course had an average portion, and was decent overall.",main course,2,4,15
"plus, on wednesday nights the house wine is unlimited!",house wine,2,30,40
"he not only makes his own homemade mozzarella , but every pie is ultra fresh.",mozzarella,2,35,45
the staff offers impeccable service .,service,2,28,35
the wine and cheese plate are plentiful and can't wait to try the fondue or table grilling .,table grilling,2,76,90
the people in the restaurant were pretty obnoxious and loud.,people,0,4,10
"its a nice quiet location to go eat a good meal , relax, be able to talk and have a very good time.",meal,2,43,47
"first the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",glass of wine,1,87,100
i have eaten there 3-4 times and the food was always good.,food,2,37,41
"order the panang duck , it's fantastic.",panang duck,2,10,21
too bad the food wasn't of the same heritage.,food,0,12,16
the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price .,price,0,94,99
i was very impressed by this low-key upper eastsider and their authentically thai cuisine !!!,thai cuisine,2,77,89
"the sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",sushi,0,4,9
try the cheesecake !,cheesecake,2,8,18
appetizers are somewhere around $7 each and the main dishes are between $11 and $16.,main dishes,1,48,59
their margarita is best i've had since i've returned from naples!,margarita,2,6,15
"we ordered the chicken casserole , but what we got were a few small pieces of chicken, all dark meat and on the bone.",chicken casserole,0,15,32
the price was extremely reasonable for the appetizers and food we ate.,price,2,4,9
"i like mamoun's food as well, but side by side, kati rolls just produce tastier food hands down.",food,2,80,84
skip dessert .,dessert,0,5,12
some servers make you feel like they are doing you a favor to bring you the food .,food,1,76,80
"thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",food,0,76,80
"when my husband and go there, we spend $60.00 (have lobster tails ummmmm need i say more) i can't say any more, it a place you'll never forget if you never go, you'll miss a meal of your life time",meal,2,174,178
this place has the best chinese style bbq ribs in the city.,bbq ribs,2,38,46
"if i could rate the people this place would be off the charts - unfortunately - the pizza , sorry - not the best in nyc.",pizza,0,84,89
"also, if you don't want to sit at a certain table , you don't have to!",table,2,44,49
"first of all, this place is *not* romantic, as claimed by citysearch's editorial review.",place,0,19,24
"yeah, sometimes the service can be slow.",service,0,20,27
they are the best bagels i've had.,bagels,2,18,24
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",jazz brunch,2,76,87
"i like mamoun's food as well, but side by side, kati rolls just produce tastier food hands down.",food,2,16,20
the zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,butter,2,59,65
the one vegetarian entree (abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,wintermelon,2,101,112
"although the tables may be closely situated, the candle-light , food-quality and service overcompensate.",candle-light,2,49,61
"the burger was great, also.",burger,2,4,10
"after we got our sashimi order, i could not believe how small the portions were!",portions,0,66,74
"the food was just ok, at least for what food was available.",food,1,4,8
"try the pad thai, it's fabulous and their prices are so cheap!",prices,2,42,48
the prices are about $9 for an entree for dinner and even less for lunch.,entree,2,31,37
"three page wine menu, one page entree and horedevous.",entree,2,31,37
the best thing i tasted were the lambchops .,lambchops,2,33,42
$20 gets you unlimited sushi of a very high quality- i even took a friend here from japan who said it was one of the best sushi places in the us that he has been to.,sushi,2,23,28
"they do cater to american palates, but if you like it hot let them know and they are more than willing to oblige!",cater,2,8,13
the best burger i have had in the village.,burger,2,9,15
"the highlight of the night was the mayonaisse for my side of fries i received from one of the food runners, which is not good considering the bill was nearly $100.",fries,0,61,66
"guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",frites,0,100,106
"great spot, whether looking for a couple of drinks or quiet dinner .",dinner,2,60,66
"unless you are eating in the pizzeria side of this place, and are not in a rush, this place is a bad idea.",place,0,86,91
nothing better than buying a snapple for $3.25 too.,snapple,2,29,36
"nice ambiance , nice little bar, good bartender, francois, and good service.",ambiance,2,5,13
"we have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",meal,2,49,53
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",dishes,0,133,139
"the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.",menu,1,42,46
"good music, great food, speedy service affordable prices.",service,2,31,38
the spicy tuna and salmon are the best we've ever had.,spicy tuna,2,4,14
"over the years, it has always provided a pleasurable dining experience with quality food and wine.",dining,2,53,59
"their sushi, kamikaze and other rolls are fresh and well presented.",rolls,2,32,37
"the first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",chocolate sampler,0,44,61
"you will pay a lot for the decore, but the food is no better or worse than a lot of other chinese and asian fusion places in ny.",food,1,43,47
you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here.,meal,2,25,29
a wonderful place !,place,2,12,17
the music is the best among all the indian restaurants i have visited.,music,2,4,9
"we only ordered desserts and drinks , but no refills were offered.",drinks,1,29,35
"we have been to this place many times, and always have great food, wine , and service.",wine,2,67,71
"authentic food and they have real service, not just the rush you get sometimes when they try to push you out the door.",food,2,10,14
"the mussaman curry that i ordered was as thin as water and aside from the poorly fried tofu that i ordered in it, they graciously provided me with one piece of poorly cooked potato.",fried tofu,0,81,91
"for appetizers, i recommend the shrimp fritters and dumplings.",shrimp fritters,2,32,47
"complimentary stuff kept coming, and when the waiter saw me opening a gift, i received my dessert on a plate that had happy birthday written on it, with a candlevery nice touch, and attentive staff.",dessert,2,90,97
"just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.",seat,0,20,24
"a few tips: skip the turnip cake, roast pork buns and egg custards .",egg custards,0,54,66
the service is ok but could be better.,service,0,4,11
"the staff are attentive, and have smiles on their faces.",staff,2,4,9
"despite the fact that the space is large, they've overcrowded the floor with tables.",space,2,26,31
"for the location , the prices are very reasonable.",location,1,8,16
"the drinks are a saving grace, but service staff, please, get over yourselves.",drinks,2,4,10
i've waited over one hour for food .,food,1,30,34
so some of the reviews here are accurate about the crowd and noise .,noise,0,61,66
some servers make you feel like they are doing you a favor to bring you the food.,servers,0,5,12
be careful before you request extra spice .,spice,1,36,41
"we love the food , drinks, and atmosphere!",food,2,12,16
kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.,kosher dills,2,0,12
excellent lunch buffet for only $6.95.,lunch buffet,2,10,22
"the combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour , makes this is one of the better pizza's in ny.",flour,2,102,107
try the tandoori salmon !,tandoori salmon,2,8,23
"if it isn't for the food (a+++), it must be the service or the ambience.",food,2,20,24
"i've had the chicken with garlic sauce, chicken with black bean sauce, and hunan chicken .",hunan chicken,1,75,88
"the only weird thing was if we got a bottle , the waitress would have simply multiplied the glass price x4, which makes no sense whatsoever.",bottle,1,37,43
"the service was a bit slow, but they were very friendly.",service,0,4,11
personal pans are the perfect size for those hungry nights.,personal pans,2,0,13
the singapore mai fun had no curry flavor whatsoever.,curry flavor,0,29,41
service was also very good.,service,2,0,7
the food is awesome - definitely try the striped bass .,striped bass,2,41,53
"(food was delivered by a busboy, not waiter) we got no cheese offered for the pasta, our water and wine glasses remained empty our entire meal , when we would have easily spent another $20 on wine.",meal,1,138,142
"the staff makes you feel at home, the food is great and the atmosphere is wonderful!",food,2,38,42
"i would recommend roxy's for that, but not for their food .",food,0,53,57
"the staff was very attentive, the ambience lovely, and the food superb.",food,2,59,63
the bill is approximately $25 for 2 at lunch without drinks.,lunch,1,39,44
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",portions,0,32,40
"the food is definitely good, but i left a bit disappointed.",food,2,4,8
the sushi seemed pretty fresh and was adequately proportioned.,sushi,2,4,9
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,2,163,170
"good music, great food, speedy service affordable prices .",prices,2,50,56
the shrimp scampi was excellent and the antipasti were plentiful.,antipasti,2,40,49
"the staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",food,2,77,81
"the wait staff is very friendly, if not overly efficient.",wait staff,2,4,14
"the sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",wait service,0,54,66
"the chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce .",sauce,0,163,168
"we were seated promptly as we had reservations , however after that the service was slow.",reservations,2,34,46
highly recommended is the spicy fried clam rolls and spider rolls.,spicy fried clam rolls,2,26,48
"the service, wine selection, ambiance are all outstanding and deserve recognition.",ambiance,2,29,37
"interesting selection, good wines , service fine, fun decor.",wines,2,28,33
"whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to northern italy with one bite.",parmesean porcini souffle,2,17,42
it looked like shredded cheese partly done - still in strips.,shredded cheese,0,15,30
this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,place,2,5,10
"nice atmosphere , the service was very pleasant and the desert was good.",atmosphere,2,5,15
the food was well prepared and the service impecable.,food,2,4,8
it's a great place to pick up a cheap lunch or dinner .,dinner,2,47,53
"it is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender , but we greatly enjoyed the unobtrusive atmosphere.",bartender,1,102,111
"the waitstaff are all very busy, it's not outstanding service, but i've never been dealt with rudely.",waitstaff,0,4,13
"only drawback - they won't toast your bagel , and they don't make eggs for the bagel.",bagel,0,38,43
"$160 for 2 filets, 2 sides , an appetizer and drinks.",sides,1,21,26
"uni from maine vs california, sea vs freshwater eel ) to get a good taste comparison.",eel,1,48,51
"his wife tanya, the hostess, completes the comforting atmosphere by being delightfully warm and gracious.",atmosphere,2,54,64
"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",prices,2,33,39
"i went at 6:00 pm specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee ) and it was marvelous.",creme brulee,2,115,127
i have been to spice three times- twice during lunch and once at dinner.,lunch,1,47,52
"for some reason, all the seafood on the menu was unavailable except for the salmon .",salmon,1,76,82
the parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.,parathas,2,4,12
"good, because hey, it's more food , but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",food,2,29,33
"if you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).",drink,1,50,55
"the most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,0,54,61
the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,wine,2,53,57
"ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,0,11,18
"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,2,4,12
i'm partial to the gnocchi .,gnocchi,2,19,26
and at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water .,glass of water,1,101,115
i've rarely had a problem with slow staff in the 10 years i've been going.,staff,2,36,41
"the service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",food,2,66,70
"i ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked thai flavors in unexpected ways.",dishes,2,112,118
"going to volare is like going to your favorite aunt's house for dinner , assuming that your aunt is a great italian cook.",dinner,1,64,70
"perhaps this food is considered extreme to an upper east side resident, but for the rest of us who've actually eaten ethnic food , this is simply dull.",ethnic food,0,117,128
i've overheard comments from him to his employees that should not have been delivered in the dining area and i've been sitting there while he lectured another customer.,employees,0,40,49
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food,2,80,84
such nice people working here - but i have to review the food.,people,2,10,16
"good spreads , great beverage selections and bagels really tasty.",spreads,2,5,12
"the portions are huge, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",entree,1,105,111
the food is great and authentic.,food,2,4,8
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers .",appetizers,1,89,99
"we figured we never had argentinian pizza before so we grabbed our lunch there, sharing a large pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese , and both were excellent.",blue cheese,2,172,183
brick oven gallery is my pick for best pizza restaurant anywhere.,pizza,2,39,44
the dim sum is delectable while the prices are quite easy on the wallet.,prices,2,36,42
the service was excellent - friendly and attentive.,service,2,4,11
we were well attended to by the enthusiastic staff especially the manager tony gaskin who made excellent suggestions for our menu selections.,staff,2,45,50
my wife had the fried shrimp which are huge and loved it.,fried shrimp,2,16,28
"the food is fresh, delicious, and reasonably priced .",priced,2,45,51
"when he's not making authentic neapolitan pizza in the open brick oven or lightly frying zucchini blossoms , he's visiting the regulars (a growing legion) and checking on newcomers.",zucchini blossoms,2,89,106
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,chocolate bread pudding,2,70,93
best taiwanese food in ny!,taiwanese food,2,5,19
if you go here - your focus should be the tamarind margaritas .,tamarind margaritas,2,42,61
example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,mushrooms,2,65,74
"guacamole+shrimp appetizer was really great, we both had the filet , very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",filet,2,61,66
"the sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",area,0,161,165
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,2,67,71
"the waiters are sweet, the food is tasty and the bill is never too large.",food,2,27,31
diner food at bistro prices is a bummer....,food,0,6,10
i went there for lunch and it was not as good as i expected from the reviews i read.,lunch,1,17,22
their whitefish salad is excellent--all whitefish with a little mayo .,mayo,2,64,68
"barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",herb mix,0,170,178
scalina fedeli reminded me why service is so integral to fine dining.,service,2,31,38
we were well attended to by the enthusiastic staff especially the manager tony gaskin who made excellent suggestions for our menu selections .,menu selections,2,125,140
first went here to enjoy their garden terrace .,garden terrace,2,31,45
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,2,147,152
a bit breezy up there on the mezzanine from the wind coming from the tracks.,mezzanine,0,29,38
i love to visit murrays for my bagel fix.,bagel,2,31,36
"everything looks great, the drinks, the decor , the food, even the people.",decor,2,40,45
by far this is the only chinese desserts place i know in ny or anywhere close in the northeastern america that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,desserts with frog jelly,2,118,142
(and i have eaten my share) which impresses me for having such a large amount of people to serve .,serve,2,91,96
"otherwise, good stuff for late nite eats .",eats,2,36,40
we had the lobster sandwich and it was fantastic.,lobster sandwich,2,11,27
the prices are wonderfully low.,prices,2,4,10
"my picks are:  - scallion pancake (fried with vegetable juice , very special and tasty)  - guizhou chicken  - shredded squid family style (one of my personal favorites)  - sichuan spicy soft shell crab  - shuizhu fish (this one is for hardcore sichuan food fans, i wouldn't recommend to my american friends as it's very spicy.",vegetable juice,2,46,61
"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.",cuisine,1,4,11
"the food is mostly made from scratch, fresh and well prepared.",food,2,4,8
any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,reservation,2,18,29
"behind this counter , two men are squeezed in.",counter,0,12,19
it was not above ordinary and the beef version had cheap (undercooked) beef .,beef,0,71,75
i had the duck breast special on my last visit and it was incredible.,duck breast special,2,10,29
the bar has various selections and the mixed drink special is a catcher! 2 for 1's.,mixed drink special,2,39,58
incredible food at a very agreable price brings me back just about every other day to this authentic thai restaurant.,price,2,35,40
"try the hot dogs too, they're snappy and delicious.",hot dogs,2,8,16
the steak was very fatty and the sauce was overpowering and not very tasty.,sauce,0,33,38
i recommend the thai popcorn :),thai popcorn,2,16,28
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",pizza,2,0,5
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,2,8,18
"still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer...",serves,0,82,88
i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,1,55,66
food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when i went.,view,2,22,26
"yet paired with such rude service , would never recommend for anyone interested in carrying any kind of conversation while there.",service,0,26,33
great pizza and fantastic service.,pizza,2,6,11
the banana tower is an amazing dessert as well.,banana tower,2,4,16
the food is reliable and the price is moderate.,price,1,29,34
"ambiance and music funky, which i enjoy.",music,2,13,18
"plus, when our entrees were held up in the kitchen on a busy saturday night, the owner sent over complimentary summer rolls to hold us over!",owner,2,81,86
"aside from the sea urchin, the chef recommended an assortment of fish including fatty yellow tail, boton shrimp , blue fin torro (fatty tuna), sea eel, etc.",boton shrimp,1,99,111
this place is not worth the prices .,prices,0,28,34
"it's constantly open, catering to the pakistani cabbies lined up on crosby st., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",food,2,114,118
"the place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and i got our food , the line reached the door.",food,1,100,104
"however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",door,2,86,90
we were fans of the half-price saturday night option until some inedible squid during a recent visit.,squid,0,73,78
kenny the owner is always there and he treats my family like we are part of his family.,owner,2,10,15
"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table .",table,1,134,139
"try ordering from the regular menu , then you would not regret!",menu,2,30,34
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,food,2,42,46
"i wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",quality of food,0,80,95
interesting other dishes for a change include chicken in curry sauc e and salmon caserole.,chicken in curry sauc,2,46,67
"their sushi, kamikaze and other rolls are fresh and well presented.",kamikaze,2,13,21
for those prices and the dressed up atmosphere you expect more and should get more.,prices,0,10,16
"first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course...",appetizer,1,40,49
"fabulous service , fantastic food, and a chilled out atmosphere and environment.",service,2,9,16
"it is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.",waiter,1,85,91
"orsay, is a very pleasnt throw back to traditional french food, and french service as well.",service,2,75,82
"fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish 's sweetness.",fish,2,98,102
service and food is what any one would expect when spending that type of money.,service,1,0,7
good bagels and good cream cheese .,cream cheese,2,21,33
"orsay, is a very pleasnt throw back to traditional french food , and french service as well.",french food,2,51,62
"also, specify if you like your food spicy- its rather bland if you don't.",food,1,31,35
the restaraurant is very small so reservations are a must.,reservations,1,34,46
it is so easy to get a reservation at a top place in nyc with a week's notice.,reservation,2,23,34
mizu is home to creative and unique rolls not to found anywhere else.,rolls,2,36,41
"service was very good - prompt, attentive and non-intrusive.",service,2,0,7
"the eggplant parmesan is also great, and my friend who grew up in manhattan claims that no one serves a better baked ziti with meatsauce .",baked ziti with meatsauce,2,111,136
"i wasn't thrilled to have to wait on line for thirty minutes, but i guess that's the price you pay for a popular place.",wait,0,29,33
"service is extraordinary, yet not overbearing, and the decor brings a taste of trendy soho into queens.",decor,2,55,60
"the kitchen however, is almost always slow.",kitchen,0,4,11
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill .",bill,0,340,344
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,tomatoes,2,107,115
"great vibe , lots of people.",vibe,2,6,10
"the bread and lamb chops i had before the meal were quite good, however.",meal,1,42,46
"no dress codes, no attitudes , plenty of comfort companionship, a great place to relax in an always busy midtown.",attitudes,2,19,28
"a cool bar with great food, and tons of excellent beer .",beer,2,50,54
even the wine by the glass was good.,wine by the glass,2,9,26
"i don't like indian food too much and this was delicious, however you want to factor that into the equation.",indian food,2,13,24
"i have been a longtime fan of holy basil in the east village, and while i do believe their food has slightly slipped in quality , i have been hesitant to be disloyal.",quality,0,120,127
"my husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",main course,0,56,67
for dinner i had the chicken tikka-masala and some garlic naan.,chicken tikka-masala,1,21,41
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,0,12,26
and their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,0,10,16
"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .",atmosphere,1,4,14
the service was excellent and the food was delicious.,service,2,4,11
"authentic food and they have real service , not just the rush you get sometimes when they try to push you out the door.",service,2,34,41
the dim sum here is only so-so.,dim sum,1,4,11
"the people with carts of food don't understand you because they don't speak english, their job is to give you the delicious food you point at.",people with carts of food,0,4,29
"the food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",dishes,2,72,78
and at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.,table,1,76,81
"the dishes offered were unique, very tasty and fresh from the lamb sausages , sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).",lamb sausages,2,62,75
"ask for usha, the nicest bartender in manhattan.",bartender,2,25,34
"whenever you need a sushi fix , mizu will be there with quality fish and great service.",sushi fix,2,20,29
"the dosas are skimpy, unattractive and drip with grease, and personally i'd drink popcorn topping before i'd eat another one of these.",dosas,0,4,9
i ordered the smoked salmon and roe appetizer and it was off flavor.,smoked salmon and roe appetizer,0,14,45
the two star chefs left quite some time ago to open their own place.,chefs,1,13,18
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the peter's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad .",salad,1,289,294
diner food at bistro prices is a bummer....,prices,0,21,27
"service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.",prices,2,21,27
"the main course had an average portion , and was decent overall.",portion,1,31,38
it is the best deal in town for a monday night dinner at a fine restaurant.,dinner,2,47,53
since my first dinner i have had the chance to have brunch at orsay 3x.,dinner,1,15,21
the scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,1,4,21
their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,green salad,2,49,60
"planet thailand has always been a hit with me , i go there usually for the sushi, which is great , the thai food is excellent too .",thai food,2,103,112
"even though i made the reservation at 3pm for the same night through dinnerbroker, we were seated at a table with one of the best view!",reservation,2,23,34
"if your favorite chinese food is general tao chicken, then this is not your place.",chinese food,1,17,29
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods .",selection of meats and seafoods,2,91,122
the waiters were not attentive except that the bill turned up on the table before we were finished.,bill,0,47,51
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",served,0,126,132
and their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,0,95,101
bartender was unable to tear himself away from friends at bar.,bartender,0,0,9
"but when you are seated the waitresses are great, they explain everything on the menu , and the price of the food is really cheap for the service you get.",menu,1,81,85
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,1,170,175
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal.,crab croquette apt,0,47,65
